id,title,detail,status,owner_id,deal_id,source,source_doc_id,source_line,is_blocked,blocked_reason,due_date,position,created_by,created_at,updated_at
6c803cda-74ea-48dc-9f6b-872065c25da8,Revisión de calidad,Realizar el control de calidad sobre los cálculos de ahorro y las proyecciones financieras generadas por el sistema.,pipeline,3ab07d9d-58d6-46af-ab1b-d5020d67fde1,,huddle,18imAFOZP7jGRSVHkkmBUO4vW-c3wjfImyHYg2skbVZA,Mario Vidaña: Revisión de calidad,f,,,0,huddle-agent,2026-07-08 15:30:26.214472+00,2026-07-08 15:30:26.214472+00
96d5caf7-6037-42ce-b3a4-4755ab0d94ea,Integrar formularios,Desarrollar la integración de formularios de Google con el sistema para recopilar información faltante de los clientes como el metraje del techo.,pipeline,,,huddle,18imAFOZP7jGRSVHkkmBUO4vW-c3wjfImyHYg2skbVZA,El grupo: Integrar formularios,f,,,0,huddle-agent,2026-07-08 15:30:26.214472+00,2026-07-08 15:30:26.214472+00
5f8afdad-f254-458c-a747-ab394fad94f4,Optimizar proyecciones,Ajustar la lógica de modelado financiero y de consumo utilizando el bot para obtener proyecciones más precisas.,pipeline,,,huddle,18imAFOZP7jGRSVHkkmBUO4vW-c3wjfImyHYg2skbVZA,El grupo: Optimizar proyecciones,f,,,0,huddle-agent,2026-07-08 15:30:26.214472+00,2026-07-08 15:30:26.214472+00
a8b23bd5-5d4f-4430-afa8-48114aa8b6ce,Configurar Checklist,Enviar solicitud de información tecnica por WhatsApp o correo cuando el usuario envia un recibo.,pipeline,41ff3fba-451b-45fb-8958-41d19468fa11,,huddle,18imAFOZP7jGRSVHkkmBUO4vW-c3wjfImyHYg2skbVZA,Jesus Lopez: Configurar Checklist,f,,,0,huddle-agent,2026-07-08 15:30:26.214472+00,2026-07-08 15:30:26.214472+00
218f32ae-3a9a-4198-9e80-a2f57ae35ba6,Ajustar Plantilla,Modificar el formulario inicial para enriquecer la informacion antes de generar la propuesta.,pipeline,,,huddle,18imAFOZP7jGRSVHkkmBUO4vW-c3wjfImyHYg2skbVZA,El grupo: Ajustar Plantilla,f,,,0,huddle-agent,2026-07-08 15:30:26.214472+00,2026-07-08 15:30:26.214472+00
293e777e-d005-4e8e-86f2-a4bde384af47,Calibrar Motor,Ajustar las logicas de calculo de dimensionamiento para obtener resultados mas precisos.,pipeline,3ab07d9d-58d6-46af-ab1b-d5020d67fde1,,huddle,18imAFOZP7jGRSVHkkmBUO4vW-c3wjfImyHYg2skbVZA,Mario Vidaña: Calibrar Motor,f,,,0,huddle-agent,2026-07-08 15:30:26.214472+00,2026-07-08 15:30:26.214472+00
2871c414-d5a6-4a39-9454-240398242de3,Integrar Datos,Migrar la informacion de la plataforma de gestion a la base de datos centralizada.,pipeline,3ab07d9d-58d6-46af-ab1b-d5020d67fde1,,huddle,18imAFOZP7jGRSVHkkmBUO4vW-c3wjfImyHYg2skbVZA,Mario Vidaña: Integrar Datos,f,,,0,huddle-agent,2026-07-08 15:30:26.214472+00,2026-07-08 15:30:26.214472+00
698679f1-7618-48b3-a458-d529642cfc09,Finalizar números,Terminar los cálculos comerciales para la presentación de Fibra Hotel antes del miércoles.,pipeline,3ab07d9d-58d6-46af-ab1b-d5020d67fde1,06485826-79b5-4122-bd40-42cc78d4ca8f,huddle,18imAFOZP7jGRSVHkkmBUO4vW-c3wjfImyHYg2skbVZA,Mario Vidaña: Finalizar números,f,,,0,huddle-agent,2026-07-08 15:30:26.214472+00,2026-07-08 15:30:26.214472+00
4195f8b9-fa96-4d19-90a6-9c9c3f5306b6,Investigar oportunidad,Obtener los requerimientos técnicos y financieros del proyecto hospitalario del Seguro Social.,pipeline,71c5356f-76af-4c70-af57-cabf1f8b192f,63590cdb-e329-42bd-8d77-c730f3fa6b03,huddle,18imAFOZP7jGRSVHkkmBUO4vW-c3wjfImyHYg2skbVZA,Alfredo Lopez Matus: Investigar oportunidad,f,,,0,huddle-agent,2026-07-08 15:30:26.214472+00,2026-07-08 15:30:26.214472+00
ab65faac-4645-4bd4-af97-4f949ce74dd7,Presentar Proyecto,Organizar una reunion para presentar el proyecto con el amigo de Alfredo.,pipeline,71c5356f-76af-4c70-af57-cabf1f8b192f,,huddle,18imAFOZP7jGRSVHkkmBUO4vW-c3wjfImyHYg2skbVZA,Alfredo Lopez Matus: Presentar Proyecto,f,,,0,huddle-agent,2026-07-08 15:30:26.214472+00,2026-07-08 15:30:26.214472+00
bd49f21c-4bec-404d-becd-3d027f0c0e74,Revisar NAWA,Investigar los detalles y el estado actual del proyecto NAWA.,pipeline,71c5356f-76af-4c70-af57-cabf1f8b192f,5276fbae-e50d-467b-83bf-6ef851bbf805,huddle,18imAFOZP7jGRSVHkkmBUO4vW-c3wjfImyHYg2skbVZA,Alfredo Lopez Matus: Revisar NAWA,f,,,0,huddle-agent,2026-07-08 15:30:26.214472+00,2026-07-08 15:30:26.214472+00
cafdb1a1-e34f-4c37-9391-554bf889b862,Recopilar Informacion,Obtener la informacion sobre el proyecto en Tulum para evaluar la capacidad necesaria.,pipeline,71c5356f-76af-4c70-af57-cabf1f8b192f,1bcaae26-bea2-44af-919e-5f5059634955,huddle,18imAFOZP7jGRSVHkkmBUO4vW-c3wjfImyHYg2skbVZA,Alfredo Lopez Matus: Recopilar Informacion,f,,,0,huddle-agent,2026-07-08 15:30:26.214472+00,2026-07-08 15:30:26.214472+00
6b76a611-ccf1-494e-b8bb-6cf64fba06f1,Contactar Socios,Enviar mensaje a Vaca y un correo electronico a Pepsi.,pipeline,41ff3fba-451b-45fb-8958-41d19468fa11,,huddle,18imAFOZP7jGRSVHkkmBUO4vW-c3wjfImyHYg2skbVZA,JJesus: Contactar Socios,f,,,0,huddle-agent,2026-07-08 15:30:26.214472+00,2026-07-08 15:30:26.214472+00
e9982eea-0002-4fdf-8f37-aec78bc2d32a,Enviar Resumen,Compartir el resumen de los puntos tratados en la llamada a traves de WhatsApp.,pipeline,41ff3fba-451b-45fb-8958-41d19468fa11,,huddle,18imAFOZP7jGRSVHkkmBUO4vW-c3wjfImyHYg2skbVZA,Jesus Lopez: Enviar Resumen,f,,,0,huddle-agent,2026-07-08 15:30:26.214472+00,2026-07-08 15:30:26.214472+00
07e3f9fc-7aec-4b22-a8b1-95df66af5c7b,Registrar Tarjeta,Agregar la tarjeta de la empresa para cubrir los costos de los servicios en las plataformas.,pipeline,3ab07d9d-58d6-46af-ab1b-d5020d67fde1,,huddle,18imAFOZP7jGRSVHkkmBUO4vW-c3wjfImyHYg2skbVZA,Mario Vidaña: Registrar Tarjeta,f,,,0,huddle-agent,2026-07-08 15:30:26.214472+00,2026-07-08 15:30:26.214472+00
b62a7229-b98d-4617-9e38-137b977152ba,Sesion Seguimiento,Realizar una reunion para definir protocolos y trabajar en las propuestas de dimensionamiento.,pipeline,,,huddle,18imAFOZP7jGRSVHkkmBUO4vW-c3wjfImyHYg2skbVZA,El equipo: Sesion Seguimiento,f,,,0,huddle-agent,2026-07-08 15:30:26.214472+00,2026-07-08 15:30:26.214472+00
bebeea20-7d95-470e-a211-101c194287cb,Asegurar Reportes,Implementar un metodo de proteccion con contraseña para los archivos de propuestas.,pipeline,,,huddle,1xUlaNS8hPJbSEFnzCJ2aqOzBrW6ZFGoZ727Tsgi7uy8,El grupo: Asegurar Reportes,f,,,0,huddle-agent,2026-07-08 15:30:42.294166+00,2026-07-08 15:30:42.294166+00
193916c5-48f4-4390-b095-742fbcaf7449,Configurar Servidor,Crear un espacio de trabajo centralizado en Digital Ocean para el desarrollo compartido.,in_progress,41ff3fba-451b-45fb-8958-41d19468fa11,,huddle,18imAFOZP7jGRSVHkkmBUO4vW-c3wjfImyHYg2skbVZA,Jesus Lopez: Configurar Servidor,f,,,0,huddle-agent,2026-07-08 15:30:26.214472+00,2026-07-08 23:42:22.892695+00
751dc2ff-80b5-4c36-8398-bc78c10d2a8b,Integrar Digital Ocean,Configurar la integracion con los servicios de Digital Ocean.,done,41ff3fba-451b-45fb-8958-41d19468fa11,,huddle,18imAFOZP7jGRSVHkkmBUO4vW-c3wjfImyHYg2skbVZA,Jesus Lopez: Integrar Digital Ocean,f,,,0,huddle-agent,2026-07-08 15:30:26.214472+00,2026-07-08 23:46:05.670941+00
a3401c9f-1a11-4190-910f-428e66996793,Crear aplicación web,Construir una aplicación web para el centro de datos que permita a los usuarios autenticarse y descargar sus propuestas.,done,41ff3fba-451b-45fb-8958-41d19468fa11,,huddle,18imAFOZP7jGRSVHkkmBUO4vW-c3wjfImyHYg2skbVZA,Jesus Lopez: Crear aplicación web,f,,,0,huddle-agent,2026-07-08 15:30:26.214472+00,2026-07-08 23:46:13.20016+00
c804902f-7aa4-45e1-8618-7fdc8fe580f0,Realizar Integraciones,Conectar el servidor con las herramientas corporativas mediante CloudCOD Max.,done,41ff3fba-451b-45fb-8958-41d19468fa11,,huddle,18imAFOZP7jGRSVHkkmBUO4vW-c3wjfImyHYg2skbVZA,Jesus Lopez: Realizar Integraciones,f,,,0,huddle-agent,2026-07-08 15:30:26.214472+00,2026-07-08 23:46:15.619381+00
